dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
167.7,104.2,37.0,41.5,75.0,2.0,4.0,0.0,3.0,1.0,,1,0,0,6.4186780251593e-05,5.72267679351552e-05,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,869998.9966,285455
35.66,55.15,14.8,3.1,24.0,1.0,2.0,4.0,4.0,3.0,6.0,0,1,0,0.00010650576664135771,0.001525437431895575,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59499.0047,272238
,,,15.6,50.0,2.0,4.0,0.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259998.9974,270694
,,,10.3,43.0,2.0,3.0,1.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149999.0015,270686
116.3,189.2,33.8,,85.0,2.0,4.0,,6.0,1.0,6.0,1,1,1,,4.544636510882587e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,644999.0021,269109
77.0,122.7,25.0,15.4,55.0,2.0,4.0,4.0,6.0,1.0,2.0,0,1,1,6.519967400162999e-05,0.00010584362662602271,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132998.9974,237970
,,,,55.0,2.0,3.0,1.0,,1.0,6.0,1,1,1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199999.0031,270700
70.3,111.7,27.4,9.8,50.0,2.0,3.0,2.0,6.0,1.0,6.0,1,1,1,4.5547759070238986e-05,0.0001273478161759743,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138900.0016,275838
87.2,144.5,25.0,16.7,65.0,2.0,4.0,,,1.0,1.0,1,1,1,5.3014190025713465e-05,7.936255991873275e-05,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164998.9969,281583
70.8,111.3,22.3,,50.0,2.0,4.0,,5.0,1.0,6.0,1,1,1,,0.00012690290912228873,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,325599.0059,269075
48.0,73.2,17.5,4.0,32.0,1.0,2.0,,5.0,3.0,,1,1,1,6.505334374186832e-05,0.0008538251366120217,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64998.9937,283134
,,,,24.0,,,4.0,,,6.0,0,1,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48949.0004,254211
89.75,145.17,29.0,21.7,65.0,2.0,3.0,4.0,6.0,1.0,2.0,1,1,1,5.7431532069420145e-05,7.675181705129881e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,449900.0019,283459
74.88,123.21,22.63,15.8,55.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,7.567644802758839e-05,0.00010838974802938767,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,319899.9952,283452
74.2,122.7,25.6,,55.0,2.0,3.0,4.0,6.0,1.0,6.0,0,1,1,,0.00010983772574398583,0.2857142857142857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,159998.9942,265165
,,,14.2,55.0,,3.0,4.0,,1.0,6.0,1,1,1,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140398.9953,248883
73.26,73.26,16.65,4.0,32.0,2.0,3.0,4.0,4.0,3.0,6.0,0,1,1,4.476225168662077e-05,0.0005589686179366768,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74798.9995,237351
69.0,111.3,21.0,10.5,50.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,6.510670989752204e-05,0.00013021341979504409,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149999.0015,260350
114.3,189.2,32.6,47.2,85.0,2.0,4.0,2.0,6.0,1.0,,1,1,1,6.695099506029886e-05,4.624157709673184e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1399899.9942,283475
91.5,145.27,32.27,25.4,65.0,2.0,3.0,4.0,6.0,1.0,2.0,1,1,1,5.921581631905243e-05,7.523206270141032e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,204698.9937,282849
68.4,170.0,23.5,11.7,48.0,2.0,3.0,3.0,6.0,1.0,6.0,1,1,1,4.281667874316579e-05,8.599931200550394e-05,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299999.0063,270730
37.5,55.7,16.6,2.9,24.0,2.0,2.0,4.0,5.0,,,1,1,1,8.363796298299121e-05,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56998.997,261842
65.0,107.1,25.1,18.0,48.0,3.0,4.0,3.0,6.0,1.0,,1,1,1,0.00010301393005869217,0.0001436472024707319,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,349998.9952,270733
71.6,123.6,26.0,,55.0,,,0.0,4.0,1.0,,1,0,1,,0.00011299741461915353,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439999.0057,285436
90.9,145.6,28.5,26.3,65.0,2.0,4.0,0.0,4.0,1.0,,1,1,1,6.972453559217499e-05,7.555700625007555e-05,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,539998.9962,285446
112.3,190.0,34.5,42.5,85.0,2.0,3.0,2.0,5.0,1.0,,1,1,1,5.773464207578453e-05,4.6866944743872144e-05,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,949900.0052,283466
